OA,Acorn_category,Acorn_group,Acorn Category_frequency_count,Acorn Group_frequency_count
E00023566,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 5, '2. Rising Prosperity': 2}","{'P. Struggling Estates': 5, 'D. City Sophisticates': 2}"
E00023567,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 2, '4. Financially Stretched': 1, '5. Urban Adversity': 1}","{'D. City Sophisticates': 5, 'E. Career Climbers': 2, 'R. Active Communal Population': 2, 'P. Struggling Estates': 1, 'N. Poorer Pensioners': 1}"
E00023569,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 8, '6. Not Private Households': 3}","{'P. Struggling Estates': 8, 'R. Active Communal Population': 3}"
E00023570,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '5. Urban Adversity': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 4, 'P. Struggling Estates': 3, 'R. Active Communal Population': 1}"
E00023571,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 6, '6. Not Private Households': 1}","{'P. Struggling Estates': 6, 'R. Active Communal Population': 1}"
E00023572,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '4. Financially Stretched': 7, '6. Not Private Households': 4}","{'D. City Sophisticates': 8, 'K. Student Life': 7, 'R. Active Communal Population': 4}"
E00023573,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 4, '6. Not Private Households': 1, '4. Financially Stretched': 1, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 4, 'D. City Sophisticates': 1, 'R. Active Communal Population': 1, 'N. Poorer Pensioners': 1}"
E00023574,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 10, '6. Not Private Households': 3}","{'P. Struggling Estates': 10, 'R. Active Communal Population': 3}"
E00023575,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 5, '2. Rising Prosperity': 3, '4. Financially Stretched': 1, '6. Not Private Households': 1}","{'P. Struggling Estates': 5, 'D. City Sophisticates': 3, 'K. Student Life': 1, 'R. Active Communal Population': 1}"
E00023576,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 5, '4. Financially Stretched': 2, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 5, 'K. Student Life': 1, 'E. Career Climbers': 1, 'N. Poorer Pensioners': 1}"
E00023577,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 3, '5. Urban Adversity': 1}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 3, 'P. Struggling Estates': 1}"
E00023578,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 6, '6. Not Private Households': 3, '2. Rising Prosperity': 3, '4. Financially Stretched': 1}","{'P. Struggling Estates': 6, 'D. City Sophisticates': 3, 'R. Active Communal Population': 3, 'K. Student Life': 1}"
E00023579,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 4, '4. Financially Stretched': 4, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 4, 'K. Student Life': 4, 'D. City Sophisticates': 1}"
E00023580,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 5},{'P. Struggling Estates': 5}
E00023581,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 4, '4. Financially Stretched': 1}","{'P. Struggling Estates': 4, 'N. Poorer Pensioners': 1}"
E00023585,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 5, '2. Rising Prosperity': 2, '6. Not Private Households': 1}","{'P. Struggling Estates': 5, 'E. Career Climbers': 2, 'R. Active Communal Population': 1}"
E00023586,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 4, '2. Rising Prosperity': 2}","{'P. Struggling Estates': 4, 'D. City Sophisticates': 2}"
E00023587,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023588,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 2, 'R. Active Communal Population': 1}"
E00023589,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '5. Urban Adversity': 1}","{'D. City Sophisticates': 3, 'P. Struggling Estates': 1}"
E00023590,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023591,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 5},{'D. City Sophisticates': 5}
E00023592,2. Rising Prosperity,E. Career Climbers,"{'2. Rising Prosperity': 4, '5. Urban Adversity': 1}","{'E. Career Climbers': 2, 'D. City Sophisticates': 2, 'P. Struggling Estates': 1}"
E00023593,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},"{'D. City Sophisticates': 2, 'E. Career Climbers': 1}"
E00023595,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 6, '5. Urban Adversity': 1, '6. Not Private Households': 1}","{'D. City Sophisticates': 5, 'P. Struggling Estates': 1, 'E. Career Climbers': 1, 'R. Active Communal Population': 1}"
E00023596,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 2, '5. Urban Adversity': 1}","{'D. City Sophisticates': 2, 'P. Struggling Estates': 1}"
E00023597,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 5},{'P. Struggling Estates': 5}
E00023598,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 2, '5. Urban Adversity': 1}","{'D. City Sophisticates': 2, 'P. Struggling Estates': 1}"
E00023599,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 2, '5. Urban Adversity': 1}","{'D. City Sophisticates': 2, 'P. Struggling Estates': 1}"
E00023600,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 2},{'D. City Sophisticates': 2}
E00023601,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '5. Urban Adversity': 3}","{'D. City Sophisticates': 4, 'P. Struggling Estates': 3}"
E00023602,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023603,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 5},{'D. City Sophisticates': 5}
E00023604,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 5, '6. Not Private Households': 1, '4. Financially Stretched': 1}","{'P. Struggling Estates': 5, 'R. Active Communal Population': 1, 'N. Poorer Pensioners': 1}"
E00023605,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '5. Urban Adversity': 1}","{'D. City Sophisticates': 3, 'P. Struggling Estates': 1}"
E00023606,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '5. Urban Adversity': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 4, 'P. Struggling Estates': 2, 'R. Active Communal Population': 1}"
E00023608,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023609,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 2, '2. Rising Prosperity': 2}","{'P. Struggling Estates': 2, 'D. City Sophisticates': 2}"
E00023610,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 4},{'P. Struggling Estates': 4}
E00023611,2. Rising Prosperity,P. Struggling Estates,"{'2. Rising Prosperity': 1, '5. Urban Adversity': 1}","{'P. Struggling Estates': 1, 'E. Career Climbers': 1}"
E00023612,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 8, '6. Not Private Households': 2, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 8, 'R. Active Communal Population': 2, 'D. City Sophisticates': 1}"
E00023613,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 1, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 1, 'D. City Sophisticates': 1}"
E00023614,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 7},"{'D. City Sophisticates': 6, 'E. Career Climbers': 1}"
E00023615,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 4, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 4, 'D. City Sophisticates': 1}"
E00023616,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 2},{'D. City Sophisticates': 2}
E00023617,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '4. Financially Stretched': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 10, 'K. Student Life': 3, 'R. Active Communal Population': 1}"
E00023618,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '6. Not Private Households': 6}","{'D. City Sophisticates': 9, 'R. Active Communal Population': 6}"
E00023619,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '6. Not Private Households': 2, '5. Urban Adversity': 1}","{'D. City Sophisticates': 8, 'R. Active Communal Population': 2, 'P. Struggling Estates': 1}"
E00023620,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '4. Financially Stretched': 2, '6. Not Private Households': 2}","{'D. City Sophisticates': 5, 'R. Active Communal Population': 2, 'K. Student Life': 2}"
E00023621,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 1}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 1}"
E00023622,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '1. Affluent Achievers': 6}","{'D. City Sophisticates': 7, 'A. Lavish Lifestyles': 6}"
E00023623,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '6. Not Private Households': 3, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 10, 'R. Active Communal Population': 3, 'A. Lavish Lifestyles': 2}"
E00023624,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 1}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 1}"
E00023625,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 11, '6. Not Private Households': 3, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 11, 'R. Active Communal Population': 3, 'A. Lavish Lifestyles': 2}"
E00023626,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 1}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 1}"
E00023627,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '6. Not Private Households': 3}","{'D. City Sophisticates': 5, 'R. Active Communal Population': 3}"
E00023628,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023629,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 7, 'A. Lavish Lifestyles': 1}"
E00023630,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023631,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 8},{'D. City Sophisticates': 8}
E00023632,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 4, 'A. Lavish Lifestyles': 2}"
E00023633,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 1, '6. Not Private Households': 1}","{'D. City Sophisticates': 9, 'A. Lavish Lifestyles': 1, 'R. Active Communal Population': 1}"
E00023634,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 11, '2. Rising Prosperity': 1}","{'A. Lavish Lifestyles': 11, 'D. City Sophisticates': 1}"
E00023635,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023636,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '6. Not Private Households': 2}","{'D. City Sophisticates': 8, 'R. Active Communal Population': 2}"
E00023637,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '1. Affluent Achievers': 5}","{'D. City Sophisticates': 8, 'A. Lavish Lifestyles': 5}"
E00023638,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 2, '5. Urban Adversity': 1}","{'D. City Sophisticates': 2, 'P. Struggling Estates': 1}"
E00023639,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023640,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 6, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 6, 'A. Lavish Lifestyles': 1}"
E00023641,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 7, 'A. Lavish Lifestyles': 1}"
E00023643,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 2}","{'D. City Sophisticates': 3, 'R. Active Communal Population': 2}"
E00023644,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '4. Financially Stretched': 2}","{'D. City Sophisticates': 5, 'K. Student Life': 2}"
E00023646,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 3, 'D. City Sophisticates': 1}"
E00023647,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 1, '6. Not Private Households': 1, '4. Financially Stretched': 1}","{'D. City Sophisticates': 8, 'K. Student Life': 1, 'E. Career Climbers': 1, 'A. Lavish Lifestyles': 1, 'R. Active Communal Population': 1}"
E00023648,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '6. Not Private Households': 4}","{'D. City Sophisticates': 10, 'R. Active Communal Population': 4}"
E00023649,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '5. Urban Adversity': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 9, 'P. Struggling Estates': 2, 'R. Active Communal Population': 1}"
E00023650,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023651,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 6},{'D. City Sophisticates': 6}
E00023652,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 3, 'A. Lavish Lifestyles': 1}"
E00023653,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 1},{'D. City Sophisticates': 1}
E00023655,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023656,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 6},{'D. City Sophisticates': 6}
E00023657,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '1. Affluent Achievers': 6, '6. Not Private Households': 5}","{'D. City Sophisticates': 10, 'A. Lavish Lifestyles': 6, 'R. Active Communal Population': 5}"
E00023658,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 9, '2. Rising Prosperity': 3}","{'A. Lavish Lifestyles': 9, 'D. City Sophisticates': 3}"
E00023659,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 4, '2. Rising Prosperity': 3}","{'A. Lavish Lifestyles': 4, 'D. City Sophisticates': 3}"
E00023660,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 9, '2. Rising Prosperity': 3}","{'A. Lavish Lifestyles': 9, 'D. City Sophisticates': 3}"
E00023661,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 5, '6. Not Private Households': 1}","{'D. City Sophisticates': 9, 'A. Lavish Lifestyles': 5, 'R. Active Communal Population': 1}"
E00023662,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 9, '2. Rising Prosperity': 1}","{'A. Lavish Lifestyles': 9, 'D. City Sophisticates': 1}"
E00023663,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 7, '2. Rising Prosperity': 1}","{'A. Lavish Lifestyles': 7, 'D. City Sophisticates': 1}"
E00023664,1. Affluent Achievers,A. Lavish Lifestyles,{'1. Affluent Achievers': 18},{'A. Lavish Lifestyles': 18}
E00023665,1. Affluent Achievers,D. City Sophisticates,"{'1. Affluent Achievers': 8, '2. Rising Prosperity': 8}","{'D. City Sophisticates': 8, 'A. Lavish Lifestyles': 8}"
E00023666,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 17, '6. Not Private Households': 3}","{'A. Lavish Lifestyles': 17, 'R. Active Communal Population': 3}"
E00023668,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 11, '1. Affluent Achievers': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 11, 'A. Lavish Lifestyles': 2, 'R. Active Communal Population': 1}"
E00023669,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 12, '6. Not Private Households': 10, '2. Rising Prosperity': 5}","{'A. Lavish Lifestyles': 12, 'R. Active Communal Population': 10, 'D. City Sophisticates': 5}"
E00023670,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 14, '1. Affluent Achievers': 12, '2. Rising Prosperity': 3}","{'R. Active Communal Population': 14, 'A. Lavish Lifestyles': 12, 'D. City Sophisticates': 2, 'E. Career Climbers': 1}"
E00023671,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '1. Affluent Achievers': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 5, 'A. Lavish Lifestyles': 3, 'R. Active Communal Population': 1}"
E00023672,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 5, 'A. Lavish Lifestyles': 2}"
E00023674,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 10, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 10, 'A. Lavish Lifestyles': 2}"
E00023675,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 3, '2. Rising Prosperity': 2, '1. Affluent Achievers': 1}","{'R. Active Communal Population': 3, 'D. City Sophisticates': 2, 'A. Lavish Lifestyles': 1}"
E00023676,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '6. Not Private Households': 4, '1. Affluent Achievers': 3, '4. Financially Stretched': 1}","{'D. City Sophisticates': 6, 'R. Active Communal Population': 4, 'A. Lavish Lifestyles': 3, 'E. Career Climbers': 2, 'K. Student Life': 1}"
E00023678,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 3, '2. Rising Prosperity': 2}","{'A. Lavish Lifestyles': 3, 'D. City Sophisticates': 2}"
E00023679,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 5, '1. Affluent Achievers': 3, '2. Rising Prosperity': 2}","{'R. Active Communal Population': 5, 'A. Lavish Lifestyles': 3, 'D. City Sophisticates': 2}"
E00023680,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 5, '2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'A. Lavish Lifestyles': 5, 'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023681,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 16, '2. Rising Prosperity': 4, '6. Not Private Households': 3}","{'A. Lavish Lifestyles': 16, 'R. Active Communal Population': 3, 'D. City Sophisticates': 2, 'E. Career Climbers': 2}"
E00023682,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 7, '2. Rising Prosperity': 7, '6. Not Private Households': 2}","{'A. Lavish Lifestyles': 7, 'D. City Sophisticates': 6, 'R. Active Communal Population': 2, 'E. Career Climbers': 1}"
E00023684,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 6, '2. Rising Prosperity': 4}","{'A. Lavish Lifestyles': 6, 'D. City Sophisticates': 4}"
E00023685,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 7},{'D. City Sophisticates': 7}
E00023686,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 17, '2. Rising Prosperity': 3, '6. Not Private Households': 2}","{'A. Lavish Lifestyles': 17, 'D. City Sophisticates': 3, 'R. Active Communal Population': 2}"
E00023687,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 13, '6. Not Private Households': 6}","{'D. City Sophisticates': 13, 'R. Active Communal Population': 6}"
E00023688,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 6, '2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'A. Lavish Lifestyles': 6, 'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023689,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 13, '6. Not Private Households': 8, '2. Rising Prosperity': 4}","{'A. Lavish Lifestyles': 12, 'R. Active Communal Population': 8, 'D. City Sophisticates': 4, 'B. Executive Wealth': 1}"
E00023690,1. Affluent Achievers,A. Lavish Lifestyles,"{'1. Affluent Achievers': 5, '2. Rising Prosperity': 3}","{'A. Lavish Lifestyles': 5, 'D. City Sophisticates': 3}"
E00023691,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 3, '2. Rising Prosperity': 1}","{'R. Active Communal Population': 3, 'D. City Sophisticates': 1}"
E00023692,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023694,6. Not Private Households,D. City Sophisticates,"{'6. Not Private Households': 1, '2. Rising Prosperity': 1}","{'D. City Sophisticates': 1, 'R. Active Communal Population': 1}"
E00023695,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 6, '6. Not Private Households': 2}","{'D. City Sophisticates': 6, 'R. Active Communal Population': 2}"
E00023696,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 2, 'R. Active Communal Population': 1}"
E00023697,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 2, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 2, 'A. Lavish Lifestyles': 1}"
E00023698,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 3}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 3}"
E00023699,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 3, 'A. Lavish Lifestyles': 1, 'R. Active Communal Population': 1}"
E00023700,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '6. Not Private Households': 4, '4. Financially Stretched': 1}","{'D. City Sophisticates': 5, 'R. Active Communal Population': 4, 'K. Student Life': 1}"
E00023701,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 5},{'D. City Sophisticates': 5}
E00023702,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023703,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 8, '6. Not Private Households': 1}","{'D. City Sophisticates': 8, 'R. Active Communal Population': 1}"
E00023704,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '6. Not Private Households': 1}","{'D. City Sophisticates': 5, 'R. Active Communal Population': 1}"
E00023705,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 1},{'P. Struggling Estates': 1}
E00023706,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '4. Financially Stretched': 1}","{'P. Struggling Estates': 3, 'K. Student Life': 1}"
E00023707,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 2, '4. Financially Stretched': 1}","{'P. Struggling Estates': 2, 'K. Student Life': 1}"
E00023708,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 2, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 2, 'A. Lavish Lifestyles': 1}"
E00023709,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 3, 'D. City Sophisticates': 1}"
E00023710,5. Urban Adversity,P. Struggling Estates,{'5. Urban Adversity': 3},{'P. Struggling Estates': 3}
E00023711,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 2, '6. Not Private Households': 1, '2. Rising Prosperity': 1}","{'P. Struggling Estates': 2, 'D. City Sophisticates': 1, 'R. Active Communal Population': 1}"
E00023712,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 1},{'D. City Sophisticates': 1}
E00023713,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 1}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 1}"
E00023714,6. Not Private Households,R. Active Communal Population,"{'6. Not Private Households': 9, '2. Rising Prosperity': 8}","{'R. Active Communal Population': 9, 'D. City Sophisticates': 8}"
E00023715,5. Urban Adversity,P. Struggling Estates,"{'5. Urban Adversity': 3, '4. Financially Stretched': 1}","{'P. Struggling Estates': 3, 'N. Poorer Pensioners': 1}"
E00023716,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 3, '6. Not Private Households': 1}","{'D. City Sophisticates': 3, 'R. Active Communal Population': 1}"
E00023717,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 2},{'D. City Sophisticates': 2}
E00023718,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023719,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 3},{'D. City Sophisticates': 3}
E00023720,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 4, '6. Not Private Households': 3, '1. Affluent Achievers': 2}","{'D. City Sophisticates': 4, 'R. Active Communal Population': 3, 'A. Lavish Lifestyles': 2}"
E00023721,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 5, '6. Not Private Households': 3}","{'D. City Sophisticates': 5, 'R. Active Communal Population': 3}"
E00023722,6. Not Private Households,R. Active Communal Population,{'6. Not Private Households': 1},{'R. Active Communal Population': 1}
E00023723,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023724,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 4},{'D. City Sophisticates': 4}
E00023725,6. Not Private Households,D. City Sophisticates,"{'6. Not Private Households': 2, '2. Rising Prosperity': 2}","{'D. City Sophisticates': 2, 'R. Active Communal Population': 2}"
E00023726,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 1},{'D. City Sophisticates': 1}
E00023727,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 2}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 2}"
E00023728,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 1}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 1}"
