,OA,Wellbeing_Acorn_group,Wellbeing_Acorn_type,Wellbeing Acorn Group_frequency_count,Wellbeing Acorn Type_frequency_count
149,E00023566,4. Healthy,21. Sensible seniors,"{'4. Healthy': 5, '2. At Risk': 2}","{'21. Sensible seniors': 3, '22. Gym & juices': 2, '8. Despondent diversity': 2}"
150,E00023567,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 3, '5. Not Private Households': 2, '1. Health Challenges': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 3, '28. Business addresses etc.': 2, '1. Limited living': 1, '21. Sensible seniors': 1}"
151,E00023569,2. At Risk,8. Despondent diversity,"{'2. At Risk': 5, '5. Not Private Households': 3, '4. Healthy': 3}","{'8. Despondent diversity': 5, '28. Business addresses etc.': 3, '21. Sensible seniors': 3}"
152,E00023570,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '21. Sensible seniors': 3, '28. Business addresses etc.': 1}"
153,E00023571,2. At Risk,8. Despondent diversity,"{'2. At Risk': 6, '5. Not Private Households': 1}","{'8. Despondent diversity': 6, '28. Business addresses etc.': 1}"
154,E00023572,4. Healthy,22. Gym & juices,"{'4. Healthy': 10, '5. Not Private Households': 4}","{'22. Gym & juices': 10, '28. Business addresses etc.': 4}"
155,E00023573,2. At Risk,8. Despondent diversity,"{'2. At Risk': 4, '5. Not Private Households': 1, '1. Health Challenges': 1, '4. Healthy': 1}","{'8. Despondent diversity': 4, '28. Business addresses etc.': 1, '1. Limited living': 1, '22. Gym & juices': 1}"
156,E00023574,2. At Risk,8. Despondent diversity,"{'2. At Risk': 8, '5. Not Private Households': 3, '4. Healthy': 1}","{'8. Despondent diversity': 8, '28. Business addresses etc.': 2, '26. Active communal population': 1, '21. Sensible seniors': 1}"
157,E00023575,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '2. At Risk': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '21. Sensible seniors': 3, '8. Despondent diversity': 2, '28. Business addresses etc.': 1}"
158,E00023576,4. Healthy,21. Sensible seniors,"{'4. Healthy': 5, '2. At Risk': 2, '1. Health Challenges': 1}","{'21. Sensible seniors': 3, '22. Gym & juices': 2, '8. Despondent diversity': 2, '1. Limited living': 1}"
159,E00023577,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '5. Not Private Households': 3}","{'22. Gym & juices': 3, '28. Business addresses etc.': 1, '21. Sensible seniors': 1, '27. Inactive communal population': 1, '26. Active communal population': 1, '24. Five-a-day greys': 1}"
160,E00023578,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '2. At Risk': 3, '5. Not Private Households': 3}","{'22. Gym & juices': 4, '8. Despondent diversity': 3, '21. Sensible seniors': 3, '28. Business addresses etc.': 2, '26. Active communal population': 1}"
161,E00023579,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '2. At Risk': 3}","{'22. Gym & juices': 5, '8. Despondent diversity': 3}"
162,E00023580,2. At Risk,8. Despondent diversity,{'2. At Risk': 5},{'8. Despondent diversity': 5}
163,E00023581,2. At Risk,8. Despondent diversity,"{'2. At Risk': 4, '1. Health Challenges': 1}","{'8. Despondent diversity': 4, '1. Limited living': 1}"
164,E00023585,3. Caution,15. Borderline behaviours,"{'3. Caution': 4, '4. Healthy': 2, '5. Not Private Households': 1, '2. At Risk': 1}","{'15. Borderline behaviours': 4, '22. Gym & juices': 2, '28. Business addresses etc.': 1, '8. Despondent diversity': 1}"
165,E00023586,4. Healthy,21. Sensible seniors,{'4. Healthy': 6},"{'21. Sensible seniors': 4, '22. Gym & juices': 2}"
166,E00023587,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
167,E00023588,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 2, '27. Inactive communal population': 1}"
168,E00023589,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 1}","{'22. Gym & juices': 1, '21. Sensible seniors': 1, '18. Cultural concerns': 1}"
169,E00023590,4. Healthy,22. Gym & juices,{'4. Healthy': 4},{'22. Gym & juices': 4}
170,E00023591,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 2}","{'22. Gym & juices': 3, '18. Cultural concerns': 2}"
171,E00023592,4. Healthy,22. Gym & juices,{'4. Healthy': 5},"{'22. Gym & juices': 4, '21. Sensible seniors': 1}"
172,E00023593,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
173,E00023595,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '2. At Risk': 1, '3. Caution': 1, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '13. Regular revellers': 1, '21. Sensible seniors': 1, '18. Cultural concerns': 1, '28. Business addresses etc.': 1}"
174,E00023596,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '21. Sensible seniors': 1}"
175,E00023597,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '4. Healthy': 2}","{'8. Despondent diversity': 3, '21. Sensible seniors': 2}"
176,E00023598,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '21. Sensible seniors': 1}"
177,E00023599,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '21. Sensible seniors': 1}"
178,E00023600,4. Healthy,22. Gym & juices,"{'4. Healthy': 1, '3. Caution': 1}","{'22. Gym & juices': 1, '18. Cultural concerns': 1}"
179,E00023601,4. Healthy,21. Sensible seniors,"{'4. Healthy': 6, '3. Caution': 1}","{'21. Sensible seniors': 3, '22. Gym & juices': 3, '18. Cultural concerns': 1}"
180,E00023602,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '24. Five-a-day greys': 1}"
181,E00023603,4. Healthy,22. Gym & juices,{'4. Healthy': 5},{'22. Gym & juices': 5}
182,E00023604,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '4. Healthy': 2, '5. Not Private Households': 1, '1. Health Challenges': 1}","{'8. Despondent diversity': 3, '21. Sensible seniors': 2, '28. Business addresses etc.': 1, '1. Limited living': 1}"
183,E00023605,4. Healthy,18. Cultural concerns,"{'4. Healthy': 2, '3. Caution': 2}","{'18. Cultural concerns': 2, '22. Gym & juices': 1, '21. Sensible seniors': 1}"
184,E00023606,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '21. Sensible seniors': 2, '28. Business addresses etc.': 1}"
185,E00023608,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 1}","{'22. Gym & juices': 2, '18. Cultural concerns': 1}"
186,E00023609,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '3. Caution': 1}","{'21. Sensible seniors': 2, '22. Gym & juices': 1, '18. Cultural concerns': 1}"
187,E00023610,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '2. At Risk': 1}","{'21. Sensible seniors': 3, '8. Despondent diversity': 1}"
188,E00023611,4. Healthy,22. Gym & juices,"{'4. Healthy': 1, '2. At Risk': 1}","{'22. Gym & juices': 1, '8. Despondent diversity': 1}"
189,E00023612,4. Healthy,21. Sensible seniors,"{'4. Healthy': 7, '5. Not Private Households': 2, '2. At Risk': 1}","{'21. Sensible seniors': 6, '28. Business addresses etc.': 2, '22. Gym & juices': 1, '8. Despondent diversity': 1}"
190,E00023613,4. Healthy,21. Sensible seniors,{'4. Healthy': 2},"{'21. Sensible seniors': 1, '22. Gym & juices': 1}"
191,E00023614,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '3. Caution': 1}","{'22. Gym & juices': 6, '18. Cultural concerns': 1}"
192,E00023615,4. Healthy,21. Sensible seniors,"{'4. Healthy': 4, '2. At Risk': 1}","{'21. Sensible seniors': 3, '22. Gym & juices': 1, '8. Despondent diversity': 1}"
193,E00023616,4. Healthy,22. Gym & juices,"{'4. Healthy': 1, '3. Caution': 1}","{'22. Gym & juices': 1, '18. Cultural concerns': 1}"
194,E00023617,4. Healthy,22. Gym & juices,"{'4. Healthy': 12, '5. Not Private Households': 1}","{'22. Gym & juices': 12, '28. Business addresses etc.': 1}"
195,E00023618,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 6, '4. Healthy': 5, '3. Caution': 3}","{'28. Business addresses etc.': 5, '22. Gym & juices': 3, '18. Cultural concerns': 3, '24. Five-a-day greys': 2, '26. Active communal population': 1}"
196,E00023619,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '5. Not Private Households': 2, '2. At Risk': 1}","{'22. Gym & juices': 4, '28. Business addresses etc.': 1, '24. Five-a-day greys': 1, '27. Inactive communal population': 1, '8. Despondent diversity': 1}"
197,E00023620,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '5. Not Private Households': 2, '3. Caution': 1}","{'22. Gym & juices': 4, '26. Active communal population': 1, '18. Cultural concerns': 1, '28. Business addresses etc.': 1}"
198,E00023621,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 2, '18. Cultural concerns': 2, '28. Business addresses etc.': 1}"
199,E00023622,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 4, '2. At Risk': 1}","{'18. Cultural concerns': 5, '22. Gym & juices': 4, '13. Regular revellers': 1}"
200,E00023623,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 4, '5. Not Private Households': 3}","{'18. Cultural concerns': 5, '22. Gym & juices': 4, '28. Business addresses etc.': 2, '26. Active communal population': 1}"
201,E00023624,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '5. Not Private Households': 1, '3. Caution': 1}","{'22. Gym & juices': 3, '24. Five-a-day greys': 2, '28. Business addresses etc.': 1, '18. Cultural concerns': 1}"
202,E00023625,3. Caution,18. Cultural concerns,"{'3. Caution': 9, '5. Not Private Households': 3, '4. Healthy': 2}","{'18. Cultural concerns': 9, '22. Gym & juices': 2, '28. Business addresses etc.': 2, '27. Inactive communal population': 1}"
203,E00023626,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 3, '5. Not Private Households': 1, '3. Caution': 1}","{'24. Five-a-day greys': 2, '22. Gym & juices': 1, '28. Business addresses etc.': 1, '18. Cultural concerns': 1}"
204,E00023627,4. Healthy,27. Inactive communal population,"{'4. Healthy': 4, '5. Not Private Households': 3}","{'27. Inactive communal population': 3, '24. Five-a-day greys': 2, '22. Gym & juices': 2}"
205,E00023628,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
206,E00023629,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 3}","{'22. Gym & juices': 3, '18. Cultural concerns': 3, '24. Five-a-day greys': 2}"
207,E00023630,4. Healthy,24. Five-a-day greys,{'4. Healthy': 3},{'24. Five-a-day greys': 3}
208,E00023631,3. Caution,18. Cultural concerns,"{'3. Caution': 7, '4. Healthy': 1}","{'18. Cultural concerns': 7, '24. Five-a-day greys': 1}"
209,E00023632,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 2}","{'22. Gym & juices': 3, '18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
210,E00023633,4. Healthy,18. Cultural concerns,"{'4. Healthy': 5, '3. Caution': 4, '5. Not Private Households': 1}","{'18. Cultural concerns': 4, '22. Gym & juices': 3, '24. Five-a-day greys': 2, '26. Active communal population': 1}"
211,E00023634,4. Healthy,22. Gym & juices,{'4. Healthy': 10},"{'22. Gym & juices': 9, '24. Five-a-day greys': 1}"
212,E00023635,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '5. Not Private Households': 1}","{'18. Cultural concerns': 3, '28. Business addresses etc.': 1}"
213,E00023636,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 4, '3. Caution': 3, '5. Not Private Households': 2}","{'24. Five-a-day greys': 4, '18. Cultural concerns': 3, '28. Business addresses etc.': 2}"
214,E00023637,3. Caution,18. Cultural concerns,"{'3. Caution': 7, '4. Healthy': 4}","{'18. Cultural concerns': 7, '22. Gym & juices': 4}"
215,E00023638,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '21. Sensible seniors': 1}"
216,E00023639,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '5. Not Private Households': 1}","{'18. Cultural concerns': 3, '26. Active communal population': 1}"
217,E00023640,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 2}","{'18. Cultural concerns': 5, '22. Gym & juices': 2}"
218,E00023641,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 4}","{'22. Gym & juices': 4, '18. Cultural concerns': 4}"
219,E00023643,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '5. Not Private Households': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '28. Business addresses etc.': 2, '24. Five-a-day greys': 1}"
220,E00023644,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 1}","{'22. Gym & juices': 5, '18. Cultural concerns': 1}"
221,E00023646,4. Healthy,21. Sensible seniors,{'4. Healthy': 4},"{'21. Sensible seniors': 3, '22. Gym & juices': 1}"
222,E00023647,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 4, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 4, '26. Active communal population': 1}"
223,E00023648,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '5. Not Private Households': 4, '3. Caution': 3}","{'22. Gym & juices': 5, '28. Business addresses etc.': 4, '18. Cultural concerns': 3, '24. Five-a-day greys': 2}"
224,E00023649,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '3. Caution': 3, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 3, '21. Sensible seniors': 2, '26. Active communal population': 1}"
225,E00023650,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 1}","{'22. Gym & juices': 2, '24. Five-a-day greys': 1, '18. Cultural concerns': 1}"
226,E00023651,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 1}","{'18. Cultural concerns': 5, '24. Five-a-day greys': 1}"
227,E00023652,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 2}","{'22. Gym & juices': 2, '18. Cultural concerns': 2}"
228,E00023653,4. Healthy,24. Five-a-day greys,{'4. Healthy': 1},{'24. Five-a-day greys': 1}
229,E00023655,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 1}"
230,E00023656,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 2}","{'22. Gym & juices': 3, '18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
231,E00023657,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '5. Not Private Households': 5, '3. Caution': 5}","{'22. Gym & juices': 6, '28. Business addresses etc.': 5, '18. Cultural concerns': 5}"
232,E00023658,4. Healthy,22. Gym & juices,"{'4. Healthy': 8, '3. Caution': 1}","{'22. Gym & juices': 8, '18. Cultural concerns': 1}"
233,E00023659,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 3}","{'22. Gym & juices': 4, '18. Cultural concerns': 3}"
234,E00023660,4. Healthy,22. Gym & juices,"{'4. Healthy': 8, '3. Caution': 2}","{'22. Gym & juices': 8, '18. Cultural concerns': 2}"
235,E00023661,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '3. Caution': 4, '5. Not Private Households': 1}","{'22. Gym & juices': 7, '18. Cultural concerns': 4, '28. Business addresses etc.': 1}"
236,E00023662,4. Healthy,18. Cultural concerns,"{'4. Healthy': 4, '3. Caution': 4}","{'18. Cultural concerns': 4, '22. Gym & juices': 3, '24. Five-a-day greys': 1}"
237,E00023663,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '3. Caution': 1}","{'22. Gym & juices': 6, '18. Cultural concerns': 1}"
238,E00023664,4. Healthy,22. Gym & juices,"{'4. Healthy': 12, '3. Caution': 4}","{'22. Gym & juices': 12, '18. Cultural concerns': 4}"
239,E00023665,4. Healthy,22. Gym & juices,"{'4. Healthy': 9, '3. Caution': 2}","{'22. Gym & juices': 9, '18. Cultural concerns': 2}"
240,E00023666,3. Caution,18. Cultural concerns,"{'3. Caution': 8, '4. Healthy': 8, '5. Not Private Households': 3}","{'18. Cultural concerns': 8, '22. Gym & juices': 8, '28. Business addresses etc.': 2, '26. Active communal population': 1}"
241,E00023668,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '3. Caution': 3, '5. Not Private Households': 1}","{'22. Gym & juices': 5, '18. Cultural concerns': 3, '24. Five-a-day greys': 1, '28. Business addresses etc.': 1}"
242,E00023669,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 10, '4. Healthy': 7, '3. Caution': 5}","{'28. Business addresses etc.': 10, '22. Gym & juices': 7, '18. Cultural concerns': 5}"
243,E00023670,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 14, '3. Caution': 4, '4. Healthy': 4}","{'28. Business addresses etc.': 14, '18. Cultural concerns': 4, '22. Gym & juices': 3, '24. Five-a-day greys': 1}"
244,E00023671,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 2, '28. Business addresses etc.': 1, '24. Five-a-day greys': 1}"
245,E00023672,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 3}","{'22. Gym & juices': 3, '18. Cultural concerns': 3}"
246,E00023674,3. Caution,18. Cultural concerns,"{'3. Caution': 7, '4. Healthy': 3}","{'18. Cultural concerns': 7, '22. Gym & juices': 3}"
247,E00023675,5. Not Private Households,18. Cultural concerns,"{'5. Not Private Households': 3, '3. Caution': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '27. Inactive communal population': 2, '22. Gym & juices': 1, '28. Business addresses etc.': 1}"
248,E00023676,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '5. Not Private Households': 4, '4. Healthy': 4}","{'18. Cultural concerns': 5, '28. Business addresses etc.': 4, '22. Gym & juices': 4}"
249,E00023678,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 2}","{'18. Cultural concerns': 3, '22. Gym & juices': 2}"
250,E00023679,5. Not Private Households,27. Inactive communal population,"{'5. Not Private Households': 5, '4. Healthy': 3, '3. Caution': 1}","{'27. Inactive communal population': 4, '22. Gym & juices': 3, '18. Cultural concerns': 1, '28. Business addresses etc.': 1}"
251,E00023680,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '5. Not Private Households': 1, '4. Healthy': 1}","{'18. Cultural concerns': 4, '27. Inactive communal population': 1, '22. Gym & juices': 1}"
252,E00023681,3. Caution,18. Cultural concerns,"{'3. Caution': 9, '4. Healthy': 7, '5. Not Private Households': 3}","{'18. Cultural concerns': 9, '22. Gym & juices': 7, '28. Business addresses etc.': 2, '27. Inactive communal population': 1}"
253,E00023682,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '5. Not Private Households': 2, '3. Caution': 1}","{'22. Gym & juices': 7, '28. Business addresses etc.': 2, '18. Cultural concerns': 1}"
254,E00023684,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '4. Healthy': 4}","{'18. Cultural concerns': 4, '22. Gym & juices': 4}"
255,E00023685,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 1}"
256,E00023686,4. Healthy,22. Gym & juices,"{'4. Healthy': 13, '3. Caution': 3, '5. Not Private Households': 2}","{'22. Gym & juices': 10, '24. Five-a-day greys': 3, '18. Cultural concerns': 3, '28. Business addresses etc.': 2}"
257,E00023687,3. Caution,18. Cultural concerns,"{'3. Caution': 10, '5. Not Private Households': 6}","{'18. Cultural concerns': 10, '28. Business addresses etc.': 6}"
258,E00023688,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 2, '28. Business addresses etc.': 1}"
259,E00023689,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 8, '4. Healthy': 7, '3. Caution': 5}","{'28. Business addresses etc.': 8, '18. Cultural concerns': 5, '22. Gym & juices': 4, '24. Five-a-day greys': 3}"
260,E00023690,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 2}","{'22. Gym & juices': 4, '18. Cultural concerns': 2}"
261,E00023691,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 3, '3. Caution': 1}","{'28. Business addresses etc.': 2, '27. Inactive communal population': 1, '18. Cultural concerns': 1}"
262,E00023692,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 1}","{'22. Gym & juices': 2, '18. Cultural concerns': 1, '24. Five-a-day greys': 1}"
263,E00023694,5. Not Private Households,27. Inactive communal population,"{'5. Not Private Households': 1, '3. Caution': 1}","{'27. Inactive communal population': 1, '18. Cultural concerns': 1}"
264,E00023695,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '5. Not Private Households': 2, '3. Caution': 1}","{'22. Gym & juices': 3, '28. Business addresses etc.': 1, '26. Active communal population': 1, '24. Five-a-day greys': 1, '18. Cultural concerns': 1}"
265,E00023696,3. Caution,18. Cultural concerns,"{'3. Caution': 1, '4. Healthy': 1, '5. Not Private Households': 1}","{'18. Cultural concerns': 1, '24. Five-a-day greys': 1, '28. Business addresses etc.': 1}"
266,E00023697,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 3, '5. Not Private Households': 2}","{'22. Gym & juices': 4, '18. Cultural concerns': 3, '27. Inactive communal population': 1, '28. Business addresses etc.': 1}"
267,E00023698,5. Not Private Households,22. Gym & juices,"{'5. Not Private Households': 3, '4. Healthy': 2, '3. Caution': 1}","{'22. Gym & juices': 2, '28. Business addresses etc.': 2, '18. Cultural concerns': 1, '27. Inactive communal population': 1}"
268,E00023699,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 2, '5. Not Private Households': 1}","{'18. Cultural concerns': 2, '28. Business addresses etc.': 1, '22. Gym & juices': 1, '24. Five-a-day greys': 1}"
269,E00023700,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 4, '3. Caution': 3, '4. Healthy': 2}","{'28. Business addresses etc.': 4, '18. Cultural concerns': 3, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
270,E00023701,4. Healthy,22. Gym & juices,{'4. Healthy': 4},{'22. Gym & juices': 4}
271,E00023702,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '5. Not Private Households': 1, '3. Caution': 1}","{'22. Gym & juices': 2, '26. Active communal population': 1, '18. Cultural concerns': 1}"
272,E00023703,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '4. Healthy': 3, '5. Not Private Households': 1}","{'18. Cultural concerns': 4, '22. Gym & juices': 2, '24. Five-a-day greys': 1, '26. Active communal population': 1}"
273,E00023704,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 2, '5. Not Private Households': 1}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 2, '27. Inactive communal population': 1}"
274,E00023705,4. Healthy,21. Sensible seniors,{'4. Healthy': 1},{'21. Sensible seniors': 1}
275,E00023706,2. At Risk,8. Despondent diversity,"{'2. At Risk': 2, '4. Healthy': 2}","{'8. Despondent diversity': 2, '21. Sensible seniors': 1, '22. Gym & juices': 1}"
276,E00023707,4. Healthy,21. Sensible seniors,{'4. Healthy': 3},"{'21. Sensible seniors': 2, '22. Gym & juices': 1}"
277,E00023708,3. Caution,18. Cultural concerns,{'3. Caution': 2},{'18. Cultural concerns': 2}
278,E00023709,4. Healthy,21. Sensible seniors,{'4. Healthy': 4},"{'21. Sensible seniors': 3, '22. Gym & juices': 1}"
279,E00023710,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '2. At Risk': 1}","{'21. Sensible seniors': 2, '8. Despondent diversity': 1}"
280,E00023711,2. At Risk,8. Despondent diversity,"{'2. At Risk': 2, '5. Not Private Households': 1, '4. Healthy': 1}","{'8. Despondent diversity': 2, '28. Business addresses etc.': 1, '22. Gym & juices': 1}"
281,E00023712,3. Caution,18. Cultural concerns,{'3. Caution': 1},{'18. Cultural concerns': 1}
282,E00023713,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '5. Not Private Households': 1, '3. Caution': 1}","{'22. Gym & juices': 2, '28. Business addresses etc.': 1, '24. Five-a-day greys': 1, '18. Cultural concerns': 1}"
283,E00023714,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 9, '4. Healthy': 5, '3. Caution': 2}","{'28. Business addresses etc.': 9, '22. Gym & juices': 5, '18. Cultural concerns': 2}"
284,E00023715,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '2. At Risk': 1, '1. Health Challenges': 1}","{'21. Sensible seniors': 2, '8. Despondent diversity': 1, '1. Limited living': 1}"
285,E00023716,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '5. Not Private Households': 1}","{'18. Cultural concerns': 3, '28. Business addresses etc.': 1}"
286,E00023717,4. Healthy,22. Gym & juices,{'4. Healthy': 2},{'22. Gym & juices': 2}
287,E00023718,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '24. Five-a-day greys': 1}"
288,E00023719,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
289,E00023720,4. Healthy,26. Active communal population,"{'4. Healthy': 3, '5. Not Private Households': 3, '3. Caution': 2}","{'26. Active communal population': 3, '22. Gym & juices': 2, '18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
290,E00023721,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '5. Not Private Households': 3, '4. Healthy': 2}","{'18. Cultural concerns': 3, '28. Business addresses etc.': 3, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
291,E00023722,5. Not Private Households,27. Inactive communal population,{'5. Not Private Households': 1},{'27. Inactive communal population': 1}
292,E00023723,4. Healthy,24. Five-a-day greys,{'4. Healthy': 4},"{'24. Five-a-day greys': 2, '22. Gym & juices': 2}"
293,E00023724,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 3, '3. Caution': 1}","{'24. Five-a-day greys': 2, '18. Cultural concerns': 1, '22. Gym & juices': 1}"
294,E00023725,5. Not Private Households,26. Active communal population,"{'5. Not Private Households': 2, '4. Healthy': 1, '3. Caution': 1}","{'26. Active communal population': 2, '22. Gym & juices': 1, '18. Cultural concerns': 1}"
295,E00023726,3. Caution,18. Cultural concerns,{'3. Caution': 1},{'18. Cultural concerns': 1}
296,E00023727,4. Healthy,18. Cultural concerns,"{'4. Healthy': 4, '3. Caution': 3, '5. Not Private Households': 2}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 2, '22. Gym & juices': 2, '26. Active communal population': 1, '28. Business addresses etc.': 1}"
297,E00023728,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 2, '26. Active communal population': 1, '24. Five-a-day greys': 1}"
298,E00023729,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1, '5. Not Private Households': 1}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 1, '27. Inactive communal population': 1}"
